ecli_code,title,court,date,content,url
NL:RBDHA:2025:11729,ECLI:NL:RBDHA:2025:11729,Rechtbank Den Haag,04-07-2025,"Uitspraak
Rechtbank den haag
Team Handel - voorzieningenrechter
zaak- / rolnummers: C/09/682130 / KG ZA 25-231 + C/09/682140 / KG ZA 25-232 +
C/09/682142 / KG ZA 25-233
Vonnis in kort geding van 4 juli 2025
in de zaak met rolnummer 25-231 van
FORENSISCH ARTSEN ROTTERDAM-RIJNMOND B.V. te Rotterdam,
eiseres,
advocaten mr. J.F. van Nouhuys en mr. E.S.C. van der Hoek, beiden te Rotterdam,
tegen:
1
DE POLITIE te Den Haag,
gedaagde,
advocaten mr. I.J. van en Berge, mr. A.C. Beijering-Beck en mr. V. Jasarevic, allen te Zwolle,
2. DE STAAT DER NEDERLANDEN (MINISTERIE VAN DEFENSIE, KONINKLIJKE MARECHAUSSEE) te Den Haag,
gedaagde,
advocaten mr. A.L.M. de Graaf en mr. A.P.M. Waaijer, beiden te Den Haag,
in de zaak met rolnummer 25-232 van
GEMEENTE AMSTERDAM, DIRECTIE GENEESKUNDIGE EN GEZONDHEIDSDIENST AMSTERDAM te Amsterdam,
OPENBAAR LICHAAM OP BASIS VAN GEMEENSCHAPPELIJKE REGELING GEMEENTELIJKE GEZONDHEIDSDIENST HOLLANDS NOORDEN te Alkmaar,
OPENBAAR LICHAAM OP BASIS VAN GEMEENSCHAPPELIJKE REGELING VEILIGHEIDSREGIO KENNEMERLAND, ONDERDEEL GEMEENTELIJKE GEZONDHEIDSDIENST KENNEMERLAND te Haarlem,
eiseressen,
advocaat mr. H. Plas te Deventer,
tegen:
1
DE POLITIE te Den Haag,
gedaagde,
advocaten mr. I.J. van en Berge, mr. A.C. Beijering-Beck en mr. V. Jasarevic, allen te Zwolle,
2. DE STAAT DER NEDERLANDEN (MINISTERIE VAN DEFENSIE, KONINKLIJKE MARECHAUSSEE) te Den Haag,
gedaagde,
advocaten mr. A.L.M. de Graaf en mr. A.P.M. Waaijer, beiden te Den Haag,
en in de zaak met rolnummer 25-233 van
FMMU B.V. te Utrecht,
eiseres,
advocaten mr. E.K. Sneeuw en mr. P.V. Kleijn, beiden te Utrecht,
tegen:
1
DE POLITIE te Den Haag,
gedaagde,
advocaten mr. I.J. van en Berge, mr. A.C. Beijering-Beck en mr. V. Jasarevic, allen te Zwolle,
2. DE STAAT DER NEDERLANDEN (MINISTERIE VAN DEFENSIE, KONINKLIJKE MARECHAUSSEE) te Den Haag,
gedaagde,
advocaten mr. A.L.M. de Graaf en mr. A.P.M. Waaijer, beiden te Den Haag,
in welke drie zaken (25-231 + 25-232 + 25-233) is tussengekomen:
REGIONALE MEDISCHE DIENST",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBDHA:2025:11729&showbutton=true&keyword=Aanbestedingsrecht&idx=1
NL:RBZWB:2025:4192,ECLI:NL:RBZWB:2025:4192,Rechtbank Zeeland-West-Brabant,01-07-2025,"Uitspraak
RECHTBANK Zeeland-West-Brabant
Civiel recht
Zittingsplaats Breda
Zaaknummer: C/02/434960 / KG ZA 25-201
Vonnis in kort geding van 1 juli 2025
in de zaak van
NOUWENS VERHUIZINGEN B.V.,
te Katwijk,
eisende partij in de hoofdzaak,
verweerster in het incident,
hierna te noemen: Nouwens,
advocaat: mr. M.Ch. Pinto,
tegen
GEMEENTE TILBURG,
te Tilburg,
gedaagde partij in de hoofdzaak,
verweerster in het incident,
hierna te noemen: de Gemeente,
advocaat: mr. I. Ottevangers,
en
MONDIAL MOVERS BV,
te Alblasserdam,
verzoekster in het incident,
hierna te noemen: Mondial Movers,
advocaten: mr. A. Beerts en mr. P.M. Smid.
1
De procedure
1.1.
Het verloop van de procedure blijkt uit:
- de dagvaarding met producties genummerd 1 tot en met 9,
- de incidentele conclusie houdende een verzoek tot tussenkomst of voeging van de zijde van Mondial Movers,
- de conclusie van antwoord van de zijde van de Gemeente met producties genummerd 1 tot en met 7,
- de conclusie van antwoord van de zijde van Mondial Movers,
- de akte aanvullende productie van de zijde van Nouwens, met productie 10,
- de mondelinge behandeling van 17 juni 2025,
- de spreekaantekeningen van Nouwens,
- de pleitnota van de Gemeente,
- de pleitnota van Mondial Movers.
1.2.
Ten slotte is vonnis bepaald.
2
De feiten
2.1.
Op 10 december 2024 heeft de Gemeente een Europese openbare aanbesteding aangekondigd voor het verrichten van verhuisdiensten (hierna: de aanbesteding).
2.2.
Drie partijen hebben zich inschreven op de aanbesteding, waaronder Nouwens en Mondial Movers.
2.3.
Het Aanbestedingsdocument Verhuisdiensten 2024-616-MV (hierna: het aanbestedingsdocument) vermeldt het volgende ten aanzien van Gunningscriteria, beoordeling en gunning:
“(…) 7.2 Economisch Meest Voordelige Inschrijving o.b.v. gunningscriterium
Gunning vindt plaats aan de Inschrijver die de Economisch Meest Voordelige Inschrijving heeft ingediend.
De Economisch Meest Voordelige Inschrijving wordt in deze aanbesteding bepaald door middel van het gunn",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBZWB:2025:4192&showbutton=true&keyword=Aanbestedingsrecht&idx=2
NL:PHR:2025:734,ECLI:NL:PHR:2025:734,Parket bij de Hoge Raad,27-06-2025,"Conclusie
PROCUREUR-GENERAAL
BIJ DE
HOGE RAAD DER NEDERLANDEN
Nummer 24/03215
Zitting 27 juni 2025
CONCLUSIE
B.J. Drijber
In de zaak van
Clear Channel Nederland B.V.,
eiseres tot cassatie,
verweerster in het voorwaardelijk incidenteel cassatieberoep,
advocaat: Chr.F. Kroes,
tegen
Gemeente Utrecht,
verweerster in cassatie,
eiseres in het voorwaardelijk incidenteel cassatieberoep,
advocaat: N.E. Groeneveld-Tijssens.
Partijen worden hierna verkort aangeduid als Clear Channel respectievelijk de Gemeente.
1
Inleiding en samenvatting
1.1
Deze procedure in kort geding heeft betrekking op een aanbesteding van een concessie voor het plaatsen en exploiteren van o.a. haltevoorzieningen, abri’s en billboards in de gemeente Utrecht. Gedurende de duur van de concessie heeft de winnende inschrijver het recht om daarop reclame aan te brengen en de daarmee te behalen inkomsten te behouden. Centraal in deze zaak staat de vraag of de concessieverlener aan de concessiehouder kan toestaan de in zijn winnende inschrijving genoemde onderaannemer te vervangen door een andere onderaannemer, zonder dat de concessieverlener een nieuwe aanbesteding organiseert. Bepalend voor het antwoord op die vraag is of de vervanging van de onderaannemer in aanbestedingsrechtelijke zin is aan te merken als een ‘wezenlijke wijziging’ van de concessieovereenkomst.
1.2
De concessie is gegund aan Reclamebureau Limburg B.V. (hierna: RBL). RBL heeft in haar inschrijving Clear Channel opgegeven als onderaannemer, die de exploitatie van de reclameruimte zou gaan verzorgen. Naar later bleek, had de Gemeente de inschrijving van RBL ongeldig moeten verklaren omdat daarin de voor de abri’s vereiste ‘zwevende zitelementen’ ontbraken, zo is onherroepelijk vastgesteld in een bodemprocedure. In dat geval zou JCDecaux Nederland B.V. (hierna: JCDecaux) in plaats van RBL als winnaar uit de bus zijn gekomen. In die bodemprocedure is tevens vastgesteld dat de Gemeente aansprakelijk is voor de schade die JCDecaux als gevolg van ",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:PHR:2025:734&showbutton=true&keyword=Aanbestedingsrecht&idx=3
NL:RBNNE:2025:2560,ECLI:NL:RBNNE:2025:2560,Rechtbank Noord-Nederland,25-06-2025,"Uitspraak
RECHTBANK Noord-Nederland
Civiel recht
Zittingsplaats Assen
Zaaknummer: C/19/151641 / KG ZA 25-52
Vonnis in kort geding van 25 juni 2025
in de zaak van
METROPOOL DEVELOPMENT B.V.,
te Huizen,
eisende partij,
hierna te noemen: Metropool,
advocaten: mr. B. Nijhof en mr. E.H. Kranendonk,
tegen
GEMEENTE TYNAARLO,
te Vries,
gedaagde partij,
hierna te noemen: de gemeente,
advocaten: mr. P. Bluemink en mr. M.J.F. Nuijens,
waarin zijn tussengekomen:
1
MWPO INVESTMENTS B.V.,
te Rotterdam,
2. KONDOR WESSELS PROJECTEN B.V.,
te Rijssen,
hierna gezamenlijk te noemen: de combinatie,
advocaten: mr. A. ter Mors en mr. R. van Cooten,
1
De procedure
1.1.
Het verloop van de procedure blijkt uit het vonnis in incident in kort geding van 11 juni 2025, waarvan de inhoud als hier herhaald en ingelast dient te worden beschouwd. In dat tussenvonnis is bepaald dat heden vonnis zal worden gewezen in de hoofzaak.
2
De feiten
2.1.
Metropool is een vastgoedontwikkelaar en dochtervennootschap
van Lidl Nederland GmbH.
2.2.
De combinatie is een (vastgoed)ontwikkelaar.
2.3.
De gemeente werkt aan een centrumontwikkeling van het dorp Zuidlaren, waaronder de herontwikkeling van het zogenaamde Prins Bernhard Hoeve-terrein (verder: PBH-terrein). De ontwikkeling van dat terrein ziet er – globaal - als volgt uit:
2.4.
Onderdeel van de (her)ontwikkeling van de voorzijde van het PBH-terrein betreft de
zogenaamde ""supermarktlocatie"" met appartementen, in de tekening hierboven weergegeven
als kavel 1A en kavel 1B. De gemeente is voornemens de supermarktlocatie te verkopen en heeft hiervoor een openbare selectieprocedure georganiseerd. Deze procedure, op 10 april 2024 gepubliceerd op TenderNed, heeft als doel een ontwikkelaar te selecteren die de kavels 1A en 1B kan ontwikkelen,
2.5.
De selectieprocedure bestond uit twee fases: een voorselectiefase waarin alle geïnteresseerde partijen zich (uiterlijk 22 mei 2024 om 12.00 uur) konden aanmelden, waarna de gemeente maximaal drie partijen zou uitnodigen vo",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBNNE:2025:2560&showbutton=true&keyword=Aanbestedingsrecht&idx=4
NL:RBDHA:2025:11370,ECLI:NL:RBDHA:2025:11370,Rechtbank Den Haag,25-06-2025,"Uitspraak
vonnis
RECHTBANK DEN HAAG
Team handel
zaaknummer / rolnummer: C/09/674082 / HA ZA 24-889
Vonnis van 25 juni 2025
in de zaak van
SIGV TOLKEN EN VERTALERS COÖPERATIE U.A., te Zeist,
hierna te noemen: SIGV,
eiseres,
advocaat mr. A.J. van Heeswijck te Heerenveen,
tegen
DE STAAT DER NEDERLANDEN (ministerie van Justitie en Veiligheid),
te Den Haag,
hierna te noemen: de Staat,
gedaagde,
advocaat mr. J.E. Palm te Den Haag.
1
De procedure
1.1.
Het procesdossier bestaat uit de volgende stukken:
-
de dagvaarding van 4 oktober 2024, met de producties 1 tot en met 35;
-
de conclusie van antwoord, met de producties 1 en 2;
-
de rolbeslissing van 13 november 2024, waarbij het verzoek van SIGV om de zaak ter verdere behandeling naar een andere rechtbank te verwijzen, is afgewezen;
-
de akte van de zijde van SIGV houdende overlegging van producties ten behoeve van de mondelinge behandeling, met de producties 36 en 37.
1.2.
De mondelinge behandeling heeft plaatsgevonden op 15 mei 2025. Partijen hebben vragen van de rechtbank beantwoord en op elkaar gereageerd. De griffier heeft aantekeningen gemaakt van wat er tijdens de mondelinge behandeling is besproken.
1.3.
Ten slotte is vonnis bepaald op heden.
2
De feiten
2.1.
Tot enkele jaren geleden schakelden het Openbaar Ministerie (OM) en de Rechtspraak rechtstreeks vertalers in voor vertaaldiensten. Op enig moment is besloten over te gaan tot de werkwijze waarbij vertalers zouden worden ingeschakeld via intermediairs. Hiertoe is een aanbestedingsprocedure georganiseerd. De aanbesteding bestond uit de volgende vier percelen:
Perceel Nederland Noord (Amsterdam, Noord-Holland, Noord-Nederland)
Perceel Nederland Midden Zuid-Oost (Oost-Nederland, Midden-Nederland, Limburg, Oost-Brabant)
Perceel Nederland Zuid-West (Zeeland-West-Brabant, Rotterdam, Den Haag, Ressortsparket, Rijksrecherche)
Perceel Rechtspraak, Landelijk Parket, Functioneel Parket, CVOM, Parket-Generaal, WBOM).
2.2.
De aanbesteding is afgerond en de Staat heeft de Raa",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBDHA:2025:11370&showbutton=true&keyword=Aanbestedingsrecht&idx=5
NL:RBMNE:2025:2898,ECLI:NL:RBMNE:2025:2898,Rechtbank Midden-Nederland,18-06-2025,"Uitspraak
RECHTBANK Midden-Nederland
Civiel recht
Zittingsplaats Utrecht
Zaaknummer: C/16/568272 / HA ZA 24-19
Vonnis van 18 juni 2025
in de zaak van
STICHTING 'T BRANDTWEER,
te Rhenen,
eiseres in conventie,
verweerster in reconventie,
hierna te noemen: 't Brandtweer,
advocaat: mr. M. Blok,
tegen
GEMEENTE RHENEN,
te Rhenen,
gedaagde in conventie,
eiseres in reconventie,
hierna te noemen: de Gemeente,
advocaat: mr. L.M. Goeree.
1
De procedure
1.1.
Het dossier bevat de volgende stukken:
-
de dagvaarding van 27 december 2023, met 21 producties;
-
de conclusie van antwoord in conventie tevens houdende eis in reconventie, met 27 producties;
-
de conclusie van antwoord in reconventie, met 5 producties (nrs. 22 tot en met 26);
-
de akte overlegging producties van 't Brandtweer, met 22 producties (nrs. 27 tot en met 48); en
-
de akte vermeerdering eis tevens overlegging productie van de Gemeente, met productie 28.
1.2.
De mondelinge behandeling heeft op 25 september 2024 plaatsgevonden. Bij deze behandeling waren namens 't Brandtweer alle bestuurders aanwezig. Zij werden bijgestaan door de advocaat. Namens de Gemeente waren aanwezig de heren [A] en [B] , bijgestaan door de advocaat. Namens partijen zijn de standpunten toegelicht aan de hand van spreekaantekeningen die zijn overgelegd en voorgedragen. Namens partijen is verder antwoord gegeven op vragen van de rechtbank. De griffier heeft aantekeningen gemaakt van dat wat tijdens de behandeling is besproken.
1.3.
Na de mondelinge behandeling is op verzoek van een van partijen een proces-verbaal opgemaakt van de mondelinge behandeling. Partijen hebben vervolgens akten genomen tegen de roldata van 6 november 2024 en 20 november 2024. Daarop volgt dit vonnis.
2
De kern van de zaak
2.1.
Partijen hebben een koopovereenkomst gesloten voor een pand in Rhenen. Maar de voorzieningenrechter van deze rechtbank heeft geoordeeld dat deze overeenkomst nietig is, omdat de Gemeente bij de verkoop van het pand het aanbestedingsrechtelijke ge",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBMNE:2025:2898&showbutton=true&keyword=Aanbestedingsrecht&idx=6
NL:GHARL:2025:3628,ECLI:NL:GHARL:2025:3628,Gerechtshof Arnhem-Leeuwarden,17-06-2025,"Uitspraak
GERECHTSHOF ARNHEM-LEEUWARDEN
locatie Arnhem, afdeling civiel recht
zaaknummer gerechtshof: 200.350.190
(zaaknummer rechtbank Overijssel, zittingsplaats Almelo: 322958)
arrest in kort geding van 17 juni 2025
in de zaak van
1
Royaal House B.V.
die is gevestigd in Haaksbergen
2. [appellante2] B.V.
die is gevestigd in Eibergen
die hoger beroep hebben ingesteld
en bij de rechtbank optraden als eiseressen
hierna: Royaal House (in vrouwelijk enkelvoud)
advocaat: mr. S. Maakal
tegen
Gemeente Haaksbergen
die is gevestigd in Haaksbergen
en bij de rechtbank optrad als gedaagde
hierna: de gemeente
advocaat: mr. R. Blom
1
Het verdere verloop van de procedure bij het hof
Naar aanleiding van het arrest van 15 april 2025 heeft op 24 april 2025 een mondelinge behandeling bij het hof plaatsgevonden. Daarvan is een verslag gemaakt dat aan het dossier is toegevoegd (het proces-verbaal). Hierna hebben partijen het hof gevraagd opnieuw arrest te wijzen.
2
De kern van de zaak
2.1
In juli 2024 heeft de gemeente een openbare Europese aanbesteding uitgeschreven. De opdracht betreft het plaatsen van tijdelijke woonunits waarin 144 statushouders en Oekraïense vluchtelingen kunnen worden gehuisvest.
Op deze aanbesteding is de Aanbestedingswet 2012 (Aw) van toepassing en de door de gemeente opgestelde “Offerteaanvraag ten behoeve van de Europees openbare aanbesteding Flexunits Opvang en Huisvesting” (hierna: de offerteaanvraag).
2.2
Royaal House heeft daarop ingeschreven, net als vijf andere ondernemingen.
Op 2 oktober 2024 heeft de gemeente aan Royaal House bericht dat haar inschrijving ter zijde wordt gelegd. Volgens de gemeente voldoet de inschrijving van Royaal House niet aan de daaraan in de offerteaanvraag gestelde eisen.
Op 31 oktober 2024 heeft de gemeente aangekondigd dat zij de opdracht voorlopig heeft gegund aan Flexibilitystay B.V.
2.3
Royaal House is het niet eens met het terzijde leggen van haar inschrijving en de voorgenomen gunning aan Flexibilitystay en heeft een kort",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:GHARL:2025:3628&showbutton=true&keyword=Aanbestedingsrecht&idx=7
NL:RBDHA:2025:11342,ECLI:NL:RBDHA:2025:11342,Rechtbank Den Haag,16-06-2025,"Uitspraak
RECHTBANK Den Haag
Team handel - voorzieningenrechter
Zaak-/rolnummers: C/09/682708 / KG ZA 25-268 en C/09/682713 / KG ZA 25-269
Vonnis in kort geding van 16 juni 2025
in de zaak met rolnummer 25-268 van
HARMONY RELOCATION B.V. te Amsterdam,
eiseres,
hierna te noemen: Harmony,
advocaten: mr. P.J.S. de Jong-van den Bogaard en mr. R. Simsek,
tegen
DE STAAT DER NEDERLANDEN (het Ministerie van Financiën) te Den Haag,
gedaagde,
hierna te noemen: de Staat,
advocaten: mr. J.E. Palm en mr. A.P.M. Waaijer,
waarin zijn tussengekomen
1
NEDVAN MOBILITY SOLUTIONS B.V. te Alphen aan den Rijn,
2. SIRVA B.V. te Rotterdam,
3. AGS GLOBAL SOLUTIONS – NETHERLANDS B.V. te Den Helder,
4. GOSSELIN GROUP te Antwerpen (België),
hierna gezamenlijk te noemen: de Combinatie Nedvan,
advocaten: mr. J.F. van Nouhuys en mr. E.S.C. van der Hoek,
en in de zaak met rolnummer 25-269 van
HARMONY RELOCATION B.V. te Amsterdam,
eiseres,
hierna te noemen: Harmony,
advocaten: mr. P.J.S. de Jong-van den Bogaard en mr. R. Simsek,
tegen
DE STAAT DER NEDERLANDEN (Ministerie van Financiën) te Den Haag,
gedaagde,
hierna te noemen: de Staat,
advocaten: mr. J.E. Palm en mr. A.P.M. Waaijer,
waarin zijn tussengekomen
1
NEDVAN MOBILITY SOLUTIONS B.V. te Alphen aan den Rijn,
2. SIRVA B.V. te Rotterdam,
3. AGS GLOBAL SOLUTIONS – NETHERLANDS B.V. te Den Helder,
4. GOSSELIN GROUP te Antwerpen (België),
hierna gezamenlijk te noemen: de Combinatie Nedvan,
advocaten: mr. J.F. van Nouhuys en mr. E.S.C. van der Hoek.
1
De procedure
1.1.
Het verloop van de procedure in zaak 25-268 blijkt uit:
- de dagvaarding, met producties;
- de conclusie van antwoord, met producties;
- de incidentele conclusie tot tussenkomst subsidiair voeging.
1.2.
het verloop van de procedure in zaak 25-269 blijkt uit:
de dagvaarding, met producties;
- de conclusie van antwoord, met producties;
- de incidentele conclusie tot tussenkomst subsidiair voeging.
1.3.
De gelijktijdige mondelinge behandeling van beide zaken heeft plaatsgevonden op 26 me",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBDHA:2025:11342&showbutton=true&keyword=Aanbestedingsrecht&idx=8
NL:RBROT:2025:7643,ECLI:NL:RBROT:2025:7643,Rechtbank Rotterdam,10-06-2025,"Uitspraak
vonnis
RECHTBANK ROTTERDAM
Team handel en haven
zaaknummer / rolnummer: C/10/697725 / KG ZA 25-315
Vonnis in kort geding van 10 juni 2025
in de zaak van
de besloten vennootschap met beperkte aansprakelijkheid
MEGRON B.V.,
gevestigd te Vlaardingen,
eiseres,
advocaat mr. D.F. Linnartz te Hattem,
tegen
de publiekrechtelijke rechtspersoon
GEMEENTE VOORNE AAN ZEE,
zetelend te Hellevoetsluis, gemeente Voorne aan Zee,
gedaagde,
advocaat mr. P.J. Velthuizen te Rotterdam.
Partijen worden hierna Megron en de gemeente genoemd.
1
De procedure
1.1.
Het verloop van de procedure blijkt uit:
-
de dagvaarding van 15 april 2025
-
de akte overlegging producties 1 tot en met 19 tevens akte wijziging van eis
-
producties 1 en 2 van de gemeente
-
de mondelinge behandeling gehouden op 21 mei 2025
-
de spreekaantekeningen van Megron
-
de pleitaantekeningen van de gemeente
-
de spreekaantekeningen in repliek van Megron.
2
De feiten
2.1.
Megron is een onderneming die zich richt op landschapsverzorging, het uitvoeren van cultuurtechnische werkzaamheden, aanleg en onderhoud van groenvoorzieningen.
2.2.
De gemeente heeft op 9 februari 2025 via TenderNed een Europese openbare aanbesteding in de markt geplaatst voor ‘Groenonderhoud Voorne aan Zee (Hellevoetsluis en Oudenhoorn)’. Het doel van de aanbesteding is het sluiten van een overeenkomst voor diverse groenwerkzaamheden (beplanten en onderhouden van groengebieden) in de gemeentekernen Hellevoetsluis en Oudenhoorn. De opdracht bestaat uit twee percelen: perceel 1 bestrijkt het noordelijk deel van de kern Hellevoetsluis en perceel 2 het zuidelijk deel van de kern Hellevoetsluis en de kern Oudenhoorn. Voor ieder perceel bestaat een apart bestek. Voor beide percelen geldt als gunningscriterium de laagste prijs. De per perceel te sluiten overeenkomst heeft een initiële looptijd van twee jaar en acht maanden met de mogelijkheid tot verlenging van tweemaal een jaar.
In de aankondiging van de aanbestedingsprocedure staat onder andere vermel",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:RBROT:2025:7643&showbutton=true&keyword=Aanbestedingsrecht&idx=9
NL:GHAMS:2025:1527,ECLI:NL:GHAMS:2025:1527,Gerechtshof Amsterdam,10-06-2025,"Uitspraak
GERECHTSHOF AMSTERDAM
afdeling civiel recht en belastingrecht, team I
zaaknummer : 200.343.767/01 KG
zaaknummer rechtbank Noord-Holland : C/15/351705 / KG ZA 24-205
arrest van de meervoudige burgerlijke kamer van 10 juni 2025
in de zaak van
GEMEENTE MEDEMBLIK,
zetelend te Wognum,
appellante,
advocaat: mr. J.H.J. Bax te Rotterdam,
tegen
1
USP VASTGOED B.V.,
gevestigd te Hoorn,
2. [geïntimeerde],
gevestigd te [plaats] ,
3. MEDEMBLIK AAN ZEE PROJECTONTWIKKELING B.V.,
gevestigd te Medemblik,
geïntimeerden,
advocaat: mr. P. Schotman te Hoorn.
Partijen worden hierna de gemeente en (in vrouwelijk enkelvoud) MAZ genoemd.
1
De zaak in het kort
Tussen een gemeente en een projectontwikkelaar is in geschil of de projectontwikkelaar is tekortgeschoten in de nakoming van de tussen partijen gesloten koopovereenkomst, doordat de afgesproken herontwikkeling van de door de gemeente aan de projectontwikkelaar verkochte percelen volgens de gemeente niet tijdig was voltooid. Partijen twisten verder over de vraag of in dat geval de ontbinding door de gemeente van deze koopovereenkomst gerechtvaardigd is. De gemeente heeft gevorderd dat de projectontwikkelaar de desbetreffende percelen aan haar teruglevert, de (bouw)werkzaamheden staakt en de percelen ontruimt. De voorzieningenrechter heeft deze vorderingen afgewezen. Ook het hof wijst deze vorderingen af, omdat de gemeente onvoldoende spoedeisend belang heeft bij toewijzing van haar vorderingen in kort geding. Bovendien hebben de vorderingen in een door de gemeente te starten bodemprocedure niet een zodanige kans van slagen dat het gerechtvaardigd is om in kort geding op de toewijzing daarvan vooruit te lopen.
2. Het geding in hoger beroep
De gemeente is bij dagvaarding van 15 juli 2024 in hoger beroep gekomen van een vonnis van de voorzieningenrechter in de rechtbank Noord-Holland van 18 juni 2024, onder bovenvermeld zaaknummer in kort geding gewezen tussen de gemeente als eiseres en MAZ als gedaagde (hierna: het bestreden von",https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:GHAMS:2025:1527&showbutton=true&keyword=Aanbestedingsrecht&idx=10
